longitude,latitude,comuna
-70.8036344,-33.3503553,Quilicura
-70.6929942,-33.3521019,Huechuraba
-70.6925736,-33.3532777,Huechuraba
-70.6923966,-33.3538562,Huechuraba
-70.6923762,-33.353923,Huechuraba
-70.691844,-33.3564537,Huechuraba
-70.6912261,-33.3583463,Huechuraba
-70.690239,-33.3611924,Huechuraba
-70.6897774,-33.3628766,Huechuraba
-70.6896433,-33.3641759,Huechuraba
-70.6896098,-33.3646385,Huechuraba
-70.6895561,-33.3649073,Huechuraba
-70.68936,-33.3653524,Huechuraba
-70.6889057,-33.3662189,Huechuraba
-70.6848488,-33.3664828,Huechuraba
-70.6829777,-33.3666763,Huechuraba
-70.6821795,-33.366877,Huechuraba
-70.6793409,-33.3679466,Huechuraba
-70.6727279,-33.3704185,Huechuraba
-70.6672192,-33.3724896,Huechuraba
-70.6609364,-33.3748048,Huechuraba
-70.656672,-33.3763844,Huechuraba
-70.6546364,-33.3771414,Huechuraba
-70.6486798,-33.3793776,Huechuraba
-70.6440964,-33.3811192,Huechuraba
-70.6433669,-33.3814346,Huechuraba
-70.6422253,-33.3820366,Huechuraba
-70.6412125,-33.3826243,Huechuraba
-70.6395216,-33.3837352,Huechuraba
-70.6376763,-33.3851399,Huechuraba
-70.6341315,-33.3878489,Huechuraba
-70.6305695,-33.3904431,Huechuraba
-70.6284323,-33.3919552,Huechuraba
-70.6275397,-33.3925357,Huechuraba
-70.6257716,-33.3935748,Huechuraba
-70.62463,-33.3941481,Huechuraba
-70.6233082,-33.395223,Huechuraba
-70.6183472,-33.3982183,Huechuraba
-70.6101396,-33.4033205,Huechuraba
-70.6098214,-33.4025413,Huechuraba
-70.6092641,-33.4012784,Huechuraba
-70.608511,-33.399517,Huechuraba
-70.6083795,-33.3992094,Huechuraba
-70.608019,-33.3980414,Huechuraba
-70.6075898,-33.3964864,Huechuraba
-70.6073718,-33.3961754,Huechuraba
-70.607084,-33.395338,Huechuraba
-70.6064311,-33.3946376,Huechuraba
-70.6053668,-33.3935268,Huechuraba
-70.6046973,-33.3927386,Huechuraba
-70.6037961,-33.3919001,Huechuraba
-70.6028262,-33.390947,Huechuraba
-70.6021653,-33.3902304,Huechuraba
-70.6017533,-33.3896929,Huechuraba
-70.6015645,-33.3876719,Huechuraba
-70.6015031,-33.3877176,Huechuraba
-70.6016589,-33.3869051,Huechuraba
-70.6018324,-33.3862779,Huechuraba
-70.6021384,-33.3857056,Huechuraba
-70.6022841,-33.3854066,Huechuraba
-70.6023383,-33.3852957,Huechuraba
-70.6023564,-33.3852587,Huechuraba
-70.6023723,-33.3852259,Huechuraba
-70.602396,-33.3851774,Huechuraba
-70.6024324,-33.3851027,Huechuraba
-70.6024829,-33.3849988,Huechuraba
-70.6026331,-33.3846855,Huechuraba
-70.6026647,-33.3846195,Huechuraba
-70.6030837,-33.3837446,Huechuraba
-70.6033584,-33.3829419,Huechuraba
-70.603427,-33.3824402,Huechuraba
-70.6034013,-33.3820962,Huechuraba
-70.6032554,-33.3815586,Huechuraba
-70.6030241,-33.3812998,Huechuraba
-70.6028262,-33.3810784,Huechuraba
-70.6019413,-33.3805618,Huechuraba
-70.6017705,-33.3804621,Huechuraba
-70.6009379,-33.3798385,Huechuraba
-70.6005063,-33.3795031,Huechuraba
-70.60032,-33.3793583,Huechuraba
-70.5999951,-33.3790354,Huechuraba
-70.5997792,-33.3788208,Huechuraba
-70.5996076,-33.3782617,Huechuraba
-70.5995818,-33.3776382,Huechuraba
-70.5995822,-33.3776063,Huechuraba
-70.5995825,-33.3775683,Huechuraba
-70.5995828,-33.3775369,Huechuraba
-70.5995831,-33.3774966,Huechuraba
-70.5995904,-33.3766132,Huechuraba
-70.5995554,-33.3763848,Huechuraba
-70.5994617,-33.3757746,Huechuraba
-70.599187,-33.3745561,Huechuraba
-70.5989908,-33.3741084,Huechuraba
-70.5987064,-33.3734595,Huechuraba
-70.598389,-33.3730089,Huechuraba
-70.597848,-33.3722409,Huechuraba
-70.5977774,-33.3721554,Huechuraba
-70.5972225,-33.3714828,Huechuraba
-70.5971442,-33.371388,Huechuraba
